id,title,genres
149,Crumb (1994),Documentary
150,Desperado (1995),Action|Romance|Western
151,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
152,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
153,"Doom Generation, The (1995)",Comedy|Crime|Drama
154,Feast of July (1995),Drama
155,First Knight (1995),Action|Drama|Romance
156,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
157,Hackers (1995),Action|Adventure|Crime|Thriller
158,Jeffrey (1995),Comedy|Drama
159,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
160,Judge Dredd (1995),Action|Crime|Sci-Fi
161,Jury Duty (1995),Comedy
162,Kids (1995),Drama
163,Living in Oblivion (1995),Comedy
164,Lord of Illusions (1995),Horror
165,Love & Human Remains (1993),Comedy|Drama
166,Mad Love (1995),Drama|Romance
167,Mallrats (1995),Comedy|Romance
168,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
169,Moonlight and Valentino (1995),Drama|Romance
170,Mute Witness (1994),Comedy|Horror|Thriller
171,Nadja (1994),Drama
172,"Net, The (1995)",Action|Crime|Thriller
173,Nine Months (1995),Comedy|Romance
174,Party Girl (1995),Comedy
175,"Prophecy, The (1995)",Fantasy|Horror|Mystery
176,Reckless (1995),Comedy|Fantasy
177,Safe (1995),Thriller
178,"Scarlet Letter, The (1995)",Drama|Romance
179,"Show, The (1995)",Documentary
180,Showgirls (1995),Drama
181,Smoke (1995),Comedy|Drama
182,Something to Talk About (1995),Comedy|Drama|Romance
183,Species (1995),Horror|Sci-Fi
184,"Stars Fell on Henrietta, The (1995)",Drama
185,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
186,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
187,"Tie That Binds, The (1995)",Thriller
188,Three Wishes (1995),Drama|Fantasy
189,Total Eclipse (1995),Drama|Romance
190,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
191,Under Siege 2: Dark Territory (1995),Action
192,Unstrung Heroes (1995),Comedy|Drama
193,Unzipped (1995),Documentary
194,"Walk in the Clouds, A (1995)",Drama|Romance
195,Waterworld (1995),Action|Adventure|Sci-Fi
196,White Man's Burden (1995),Drama
197,Wild Bill (1995),Western
198,"Browning Version, The (1994)",Drama
199,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
200,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
201,Before the Rain (Pred dozhdot) (1994),Drama|War
202,Before Sunrise (1995),Drama|Romance
203,Billy Madison (1995),Comedy
204,"Babysitter, The (1995)",Drama|Thriller
205,Boys on the Side (1995),Comedy|Drama
206,"Cure, The (1995)",Drama
207,Castle Freak (1995),Horror
208,Circle of Friends (1995),Drama|Romance
209,Clerks (1994),Comedy
210,Don Juan DeMarco (1995),Comedy|Drama|Romance
211,Disclosure (1994),Drama|Thriller
212,Drop Zone (1994),Action|Thriller
213,Destiny Turns on the Radio (1995),Comedy
214,Death and the Maiden (1994),Drama|Thriller
215,Dolores Claiborne (1995),Drama|Thriller
216,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
217,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
218,Exotica (1994),Drama
219,Exit to Eden (1994),Comedy
220,Ed Wood (1994),Comedy|Drama
221,French Kiss (1995),Action|Comedy|Romance
222,Forget Paris (1995),Comedy|Romance
223,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
224,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
225,Hideaway (1995),Thriller
226,Fluke (1995),Children|Drama
227,Farinelli: il castrato (1994),Drama|Musical
228,Gordy (1995),Children|Comedy|Fantasy
229,Gumby: The Movie (1995),Animation|Children
230,"Glass Shield, The (1994)",Crime|Drama
231,Hoop Dreams (1994),Documentary
232,Heavenly Creatures (1994),Crime|Drama
233,Houseguest (1994),Comedy
234,Immortal Beloved (1994),Drama|Romance
235,Heavyweights (Heavy Weights) (1995),Children|Comedy
236,"Hunted, The (1995)",Action
237,I.Q. (1994),Comedy|Romance
238,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
239,Jefferson in Paris (1995),Drama
240,"Jerky Boys, The (1995)",Comedy
241,Junior (1994),Comedy|Sci-Fi
242,Just Cause (1995),Mystery|Thriller
243,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
244,Kiss of Death (1995),Crime|Drama|Thriller
245,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
246,Little Women (1994),Drama
247,"Little Princess, A (1995)",Children|Drama
248,Ladybird Ladybird (1994),Drama
249,"Enfer, L' (1994)",Drama
250,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
251,Legends of the Fall (1994),Drama|Romance|War|Western
252,Major Payne (1995),Comedy
253,Little Odessa (1994),Crime|Drama
254,My Crazy Life (Mi vida loca) (1993),Drama
255,Love Affair (1994),Drama|Romance
256,Losing Isaiah (1995),Drama
257,"Madness of King George, The (1994)",Comedy|Drama
258,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
259,Man of the House (1995),Comedy
260,Mixed Nuts (1994),Comedy
261,Milk Money (1994),Comedy|Romance
262,Miracle on 34th Street (1994),Drama
263,Miami Rhapsody (1995),Comedy
264,My Family (1995),Drama
265,Murder in the First (1995),Drama|Thriller
266,Nobody's Fool (1994),Comedy|Drama|Romance
267,Nell (1994),Drama
268,New Jersey Drive (1995),Crime|Drama
269,Beyond Bedlam (1993),Drama|Horror
270,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
271,Nina Takes a Lover (1994),Comedy|Romance
272,Natural Born Killers (1994),Action|Crime|Thriller
273,Only You (1994),Comedy|Romance
274,Once Were Warriors (1994),Crime|Drama
275,Poison Ivy II (1996),Drama|Thriller
276,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
277,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
278,"Perez Family, The (1995)",Comedy|Romance
279,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
280,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
281,Panther (1995),Drama
282,Pushing Hands (Tui shou) (1992),Drama
283,Priest (1994),Drama
284,Quiz Show (1994),Drama
285,Picture Bride (Bijo photo) (1994),Drama|Romance
286,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
287,"Quick and the Dead, The (1995)",Action|Thriller|Western
288,Roommates (1995),Comedy|Drama
289,Ready to Wear (Pret-A-Porter) (1994),Comedy
290,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
291,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
292,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
293,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
294,Rent-a-Kid (1995),Comedy
295,Relative Fear (1994),Horror|Thriller
296,Stuart Saves His Family (1995),Comedy
297,"Swan Princess, The (1994)",Animation|Children
298,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
299,"Specialist, The (1994)",Action|Drama|Thriller
300,Stargate (1994),Action|Adventure|Sci-Fi
301,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
302,"Shawshank Redemption, The (1994)",Crime|Drama
303,Shallow Grave (1994),Comedy|Drama|Thriller
304,Suture (1993),Film-Noir|Thriller
305,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
306,Swimming with Sharks (1995),Comedy|Drama
307,"Sum of Us, The (1994)",Comedy|Drama
308,National Lampoon's Senior Trip (1995),Comedy
309,To Live (Huozhe) (1994),Drama
310,Tank Girl (1995),Action|Comedy|Sci-Fi
311,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
312,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
313,Tales from the Hood (1995),Action|Crime|Horror
314,Tom & Viv (1994),Drama
315,Village of the Damned (1995),Horror|Sci-Fi
316,Tommy Boy (1995),Comedy
317,Vanya on 42nd Street (1994),Drama
318,Underneath (1995),Mystery|Thriller
319,What's Eating Gilbert Grape (1993),Drama
320,Virtuosity (1995),Action|Sci-Fi|Thriller
321,While You Were Sleeping (1995),Comedy|Romance
322,"War, The (1994)",Adventure|Drama|War
323,Double Happiness (1994),Drama
324,Muriel's Wedding (1994),Comedy
325,"Baby-Sitters Club, The (1995)",Children
326,Ace Ventura: Pet Detective (1994),Comedy
327,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
328,Backbeat (1993),Drama|Musical
329,Bitter Moon (1992),Drama|Film-Noir|Romance
330,Bullets Over Broadway (1994),Comedy
331,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
332,"Client, The (1994)",Drama|Mystery|Thriller
333,"Corrina, Corrina (1994)",Comedy|Drama|Romance
334,Crooklyn (1994),Comedy|Drama
335,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
336,Cobb (1994),Drama
337,"Flintstones, The (1994)",Children|Comedy|Fantasy
338,Forrest Gump (1994),Comedy|Drama|Romance|War
339,Four Weddings and a Funeral (1994),Comedy|Romance
340,Higher Learning (1995),Drama
341,I Like It Like That (1994),Comedy|Drama|Romance
342,I Love Trouble (1994),Action|Comedy
343,It Could Happen to You (1994),Comedy|Drama|Romance
344,"Jungle Book, The (1994)",Adventure|Children|Romance
345,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
346,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
347,Little Buddha (1993),Drama
348,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
349,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
350,Maverick (1994),Adventure|Comedy|Western
351,Mrs. Parker and the Vicious Circle (1994),Drama
352,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
353,"Paper, The (1994)",Comedy|Drama
354,Reality Bites (1994),Comedy|Drama|Romance
355,Red Rock West (1992),Thriller
356,Richie Rich (1994),Children|Comedy
357,Safe Passage (1994),Drama
358,"River Wild, The (1994)",Action|Thriller
359,Speed (1994),Action|Romance|Thriller
360,Speechless (1994),Comedy|Romance
361,Timecop (1994),Action|Sci-Fi|Thriller
362,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
363,When a Man Loves a Woman (1994),Drama|Romance
364,Wolf (1994),Drama|Horror|Romance|Thriller
365,Wyatt Earp (1994),Western
366,Bad Company (1995),Action|Crime|Drama
367,"Man of No Importance, A (1994)",Drama
368,S.F.W. (1994),Drama
369,"Low Down Dirty Shame, A (1994)",Action|Comedy
370,Boys Life (1995),Drama
371,"Colonel Chabert, Le (1994)",Drama|Romance|War
372,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
373,Jason's Lyric (1994),Crime|Drama
374,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation
375,Street Fighter (1994),Action|Adventure|Fantasy
376,Coldblooded (1995),Comedy
377,"Fear, The (1995)",Horror
378,Frank and Ollie (1995),Documentary
379,Open Season (1996),Comedy
380,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
381,Federal Hill (1994),Drama
382,In the Mouth of Madness (1995),Horror|Thriller
383,8 Seconds (1994),Drama
384,Above the Rim (1994),Crime|Drama
385,Addams Family Values (1993),Children|Comedy|Fantasy
386,Martin Lawrence: You So Crazy (1994),Comedy|Documentary
387,"Age of Innocence, The (1993)",Drama
388,Airheads (1994),Comedy
389,"Air Up There, The (1994)",Comedy
390,Another Stakeout (1993),Comedy|Thriller
391,Bad Girls (1994),Western
392,Barcelona (1994),Comedy|Romance
393,Being Human (1993),Drama
394,"Beverly Hillbillies, The (1993)",Comedy
395,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
396,Black Beauty (1994),Adventure|Children|Drama
397,Blink (1994),Thriller
398,Blown Away (1994),Action|Thriller
399,Blue Chips (1994),Drama
400,Blue Sky (1994),Drama|Romance
401,Body Snatchers (1993),Horror|Sci-Fi|Thriller
402,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
403,"Bronx Tale, A (1993)",Drama
404,Cabin Boy (1994),Comedy
405,Calendar Girl (1993),Comedy|Drama
406,Carlito's Way (1993),Crime|Drama
407,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
408,Clean Slate (1994),Comedy
409,Cliffhanger (1993),Action|Adventure|Thriller
410,Coneheads (1993),Comedy|Sci-Fi
411,Color of Night (1994),Drama|Thriller
412,Cops and Robbersons (1994),Comedy
413,"Cowboy Way, The (1994)",Action|Comedy|Drama
414,Dangerous Game (1993),Drama
415,Dave (1993),Comedy|Romance
416,Dazed and Confused (1993),Comedy
417,Demolition Man (1993),Action|Adventure|Sci-Fi
418,"Endless Summer 2, The (1994)",Adventure|Documentary
419,Even Cowgirls Get the Blues (1993),Comedy|Romance
420,Fatal Instinct (1993),Comedy
421,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
422,"Favor, The (1994)",Comedy|Romance
423,Fearless (1993),Drama
424,Fear of a Black Hat (1994),Comedy
425,With Honors (1994),Comedy|Drama
426,Flesh and Bone (1993),Drama|Mystery|Romance
427,Widows' Peak (1994),Drama
428,For Love or Money (1993),Comedy|Romance
429,"Firm, The (1993)",Drama|Thriller
430,Free Willy (1993),Adventure|Children|Drama
431,Fresh (1994),Crime|Drama|Thriller
432,"Fugitive, The (1993)",Thriller
433,Geronimo: An American Legend (1993),Drama|Western
434,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
435,Getting Even with Dad (1994),Comedy
436,Go Fish (1994),Drama|Romance
437,"Good Man in Africa, A (1994)",Action|Adventure
438,Guilty as Sin (1993),Crime|Drama|Thriller
439,Hard Target (1993),Action|Adventure|Crime|Thriller
440,Heaven & Earth (1993),Action|Drama|War
441,Hot Shots! Part Deux (1993),Action|Comedy|War
442,Live Nude Girls (1995),Comedy
443,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
444,"House of the Spirits, The (1993)",Drama|Romance
445,House Party 3 (1994),Comedy
446,"Hudsucker Proxy, The (1994)",Comedy
447,I'll Do Anything (1994),Comedy|Drama
448,In the Army Now (1994),Comedy|War
449,In the Line of Fire (1993),Action|Thriller
450,In the Name of the Father (1993),Drama
451,"Inkwell, The (1994)",Comedy|Drama
452,What's Love Got to Do with It? (1993),Drama|Musical
453,Jimmy Hollywood (1994),Comedy|Crime|Drama
454,Judgment Night (1993),Action|Crime|Thriller
455,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
456,Kalifornia (1993),Drama|Thriller
457,Killing Zoe (1994),Crime|Drama|Thriller
458,King of the Hill (1993),Drama
459,Lassie (1994),Adventure|Children
460,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
461,Life with Mikey (1993),Comedy
462,Lightning Jack (1994),Comedy|Western
463,M. Butterfly (1993),Drama|Romance
464,Made in America (1993),Comedy
465,Malice (1993),Thriller
466,"Man Without a Face, The (1993)",Drama
467,Manhattan Murder Mystery (1993),Comedy|Mystery
468,Menace II Society (1993),Action|Crime|Drama
469,Executive Decision (1996),Action|Adventure|Thriller
470,In the Realm of the Senses (Ai no corrida) (1976),Drama
471,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
472,Much Ado About Nothing (1993),Comedy|Romance
473,Mr. Jones (1993),Drama|Romance
474,Mr. Wonderful (1993),Comedy|Romance
475,Mrs. Doubtfire (1993),Comedy|Drama
476,Naked (1993),Drama
477,"Next Karate Kid, The (1994)",Action|Children|Romance
478,"New Age, The (1994)",Drama
479,No Escape (1994),Action|Drama|Sci-Fi
480,North (1994),Comedy
481,Orlando (1992),Drama|Fantasy|Romance
482,"Perfect World, A (1993)",Crime|Drama|Thriller
483,Philadelphia (1993),Drama
484,"Piano, The (1993)",Drama|Romance
485,Poetic Justice (1993),Drama
486,"Program, The (1993)",Action|Drama
487,"Puppet Masters, The (1994)",Horror|Sci-Fi
488,Radioland Murders (1994),Comedy|Mystery|Romance
489,"Ref, The (1994)",Comedy
490,"Remains of the Day, The (1993)",Drama|Romance
491,Renaissance Man (1994),Comedy|Drama
492,Rising Sun (1993),Action|Drama|Mystery
493,"Road to Wellville, The (1994)",Comedy
494,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
495,Robin Hood: Men in Tights (1993),Comedy
496,Romeo Is Bleeding (1993),Crime|Thriller
497,Romper Stomper (1992),Action|Drama
498,Ruby in Paradise (1993),Drama
499,Rudy (1993),Drama
500,"Saint of Fort Washington, The (1993)",Drama
501,"Savage Nights (Nuits fauves, Les) (1992)",Drama
502,Schindler's List (1993),Drama|War
503,"Scout, The (1994)",Comedy|Drama
504,Searching for Bobby Fischer (1993),Drama
505,"Secret Garden, The (1993)",Children|Drama
506,Serial Mom (1994),Comedy|Crime|Horror
507,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
508,Shadowlands (1993),Drama|Romance
509,Short Cuts (1993),Drama
510,"Simple Twist of Fate, A (1994)",Drama
511,Sirens (1994),Drama
512,Six Degrees of Separation (1993),Drama
513,Sleepless in Seattle (1993),Comedy|Drama|Romance
514,Sliver (1993),Thriller
515,Blade Runner (1982),Action|Sci-Fi|Thriller
516,Son in Law (1993),Comedy|Drama|Romance
517,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
518,Striking Distance (1993),Action|Crime
519,Harem (1985),Drama
520,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
521,Surviving the Game (1994),Action|Adventure|Thriller
522,Terminal Velocity (1994),Action|Mystery|Thriller
523,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
524,Threesome (1994),Comedy|Romance
525,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
526,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
527,Tombstone (1993),Action|Drama|Western
528,Trial by Jury (1994),Crime|Drama|Thriller
529,True Romance (1993),Crime|Thriller
530,"War Room, The (1993)",Documentary
531,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
532,"Paris, France (1993)",Comedy
533,Killer (Bulletproof Heart) (1994),Drama|Thriller
534,Welcome to the Dollhouse (1995),Comedy|Drama
535,Germinal (1993),Drama|Romance
536,Chasers (1994),Comedy
537,Cronos (1993),Drama|Horror
538,Naked in New York (1994),Comedy|Romance
539,Bhaji on the Beach (1993),Comedy|Drama
540,Little Big League (1994),Comedy|Drama
541,"Slingshot, The (Kådisbellan) (1993)",Comedy|Drama
542,"Wedding Gift, The (1994)",Drama|Romance
543,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
544,Spanking the Monkey (1994),Comedy|Drama
545,"Little Rascals, The (1994)",Children|Comedy
546,Andre (1994),Adventure|Children|Drama
547,Princess Caraboo (1994),Drama
548,"Celluloid Closet, The (1995)",Documentary
549,Métisse (Café au Lait) (1993),Comedy|Drama
550,Dear Diary (Caro Diario) (1994),Comedy|Drama
551,"Brady Bunch Movie, The (1995)",Comedy
552,Home Alone (1990),Children|Comedy
553,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
554,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
555,Terminator 2: Judgment Day (1991),Action|Sci-Fi
556,Dances with Wolves (1990),Adventure|Drama|Western
557,Batman (1989),Action|Crime|Thriller
558,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
559,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
560,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
561,Pinocchio (1940),Animation|Children|Fantasy|Musical
562,Pretty Woman (1990),Comedy|Romance
563,Window to Paris (Okno v Parizh) (1994),Comedy|Fantasy
564,"Wild Bunch, The (1969)",Adventure|Western
565,Love and a .45 (1994),Action|Comedy|Crime
566,"Wooden Man's Bride, The (Yan shen) (1994)",Drama
567,"Great Day in Harlem, A (1994)",Documentary
568,"Bye Bye, Love (1995)",Comedy
569,One Fine Day (1996),Drama|Romance
570,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
571,Fargo (1996),Comedy|Crime|Drama|Thriller
572,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
573,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
